,Collection,Sales,Change (24h),Buyers,Txns,Number of News,Number of Instagram Posts
0,Mutant Ape Yacht Club,"$22,875,948",55.58%,176,203,26,346
1,Bored Ape Yacht Club,"$16,744,075",94.28%,37,46,100,500
2,Moonbirds,"$6,882,908",-73.79%,66,67,37,126
3,Bored Ape Kennel Club,"$5,064,112",-1.41%,113,141,5,42
4,RTFKT MNLTH,"$4,039,945",-40.85%,72,121,4,6
5,CloneX,"$3,302,700",12.47%,54,63,9,451
6,MurakamiFlowers Seed,"$2,951,346",-0.56%,118,147,2,0
7,Beanz,"$2,619,499",0.50%,82,157,13,173
8,Ugly People,"$2,454,457",-2.63%,2077,2780,100,21
9,VeeFriends Series 2,"$2,310,440",23.25%,398,522,6,12
10,Azuki,"$1,993,715",2.00%,28,32,26,500
11,Doodles,"$1,753,678",164.79%,33,43,73,6
12,DeGods,"$1,693,159",60.68%,48,51,1,27
13,Bored Ape Chemistr,"$1,686,056",22.55%,10,11,2,0
14,CryptoPunks,"$1,622,760",-30.87%,3,8,33,138
15,MNLTHRVLD,"$1,614,904",-60.04%,143,167,0,0
16,Rtfkt Nike x M,"$1,540,861",-52.15%,92,111,1,0
17,MNLTHSKIN,"$964,273",-75.73%,116,147,0,0
18,Crabada,"$773,055",9.44%,666,2451,7,8
19,Unemployables,"$761,684",68.79%,361,579,2,13
20,adidas Originals,"$676,811",11.53%,97,110,43,391
21,smowl,"$676,004",-4.49%,343,563,2,7
22,The Art of Seasons,"$658,515",24.90%,76,115,100,4
23,Cets on Crek,"$651,297",7.74%,57,67,0,0
24,Meebits,"$639,279",-68.54%,33,35,17,69
25,PROOF Collective,"$630,309",113.10%,2,2,100,35
26,Axie Infinity,"$576,577",8.09%,7855,17982,70,56
27,NBA Top Shot,"$573,810",-6.72%,3996,24440,100,167
28,MURI,"$551,470",-90.73%,98,146,26,500
29,Anonymice,"$505,913",298.67%,126,152,0,1
30,Blocksmith Labs,"$484,797",147.18%,95,143,0,0
31,Invisible Friends,"$463,943",75.95%,25,28,100,335
32,World Of Women,"$456,374",-36.16%,18,20,100,135
33,VeeFriends,"$454,738",16.47%,8,8,9,313
34,Art Blocks,"$436,187",9.59%,68,91,100,140
35,Sorare,"$416,890",-19.04%,2711,6553,68,413
36,Cool Cats,"$410,965",-33.16%,20,20,96,41
37,mems,"$386,332",-69.92%,400,743,81,34
38,Pancake Squad,"$379,526",-3.21%,52,65,17,17
39,CrypToadz,"$377,662",-61.10%,28,29,4,59
40,Kaiju Kingz,"$377,216",68.07%,84,88,17,2
41,Arcade Land,"$357,192",11.44%,79,137,98,7
42,Kittycat Milktoast,"$351,935",0.49%,109,172,0,0
43,Psychedelics Anonymous Genesis,"$330,140",109.17%,45,47,0,0
44,The Association NFT,"$325,475",-23.77%,307,550,100,7
45,Cool Pets,"$324,661",1.14%,74,90,99,148
46,Pixel Vault Founders DAO,"$322,059","2,199.39%",6,29,0,0
47,Pixel Interfaces,"$319,504",265.35%,643,984,19,1
48,The Stoned Frogs,"$297,079",-71.47%,351,495,0,8
49,mfer,"$290,381",21.45%,27,33,14,46
50,World Of Women Galaxy,"$273,024",-20.57%,75,92,26,2
51,CyberKongz,"$269,001",94.91%,6,6,5,43
52,NFL All Day,"$268,152",-49.22%,2231,7028,100,129
53,CoolmansUniverse,"$264,017",332.80%,58,73,0,1
54,Elysium Code,"$263,502",-34.96%,158,232,8,3
55,Mr. Crypto,"$259,626",589.50%,539,955,100,0
56,ShinseiGalverse,"$252,729",111.16%,176,253,0,1
57,MOAR by Joan Cornella,"$239,288",10.27%,27,44,0,0
58,Cyber Samurai,"$235,140",268.47%,86,226,5,7
59,VaynerSports Pass,"$230,050",43.51%,135,172,0,0
60,ALIENFRENS,"$227,989",47.54%,61,68,2,58
61,Nanopass,"$227,497",-33.15%,15,19,4,4
62,NFT Worlds,"$218,554",-25.68%,8,8,100,207
63,CyberBrokers,"$206,814",-15.84%,20,21,1,14
64,EveraiDuo,"$206,155",-36.88%,51,66,0,1
65,ThePicaroons,"$205,834",9.13%,166,381,0,4
66,illogics,"$202,991",40.38%,150,242,1,0
67,Degen Toonz,"$202,805",-79.35%,72,100,0,36
68,Los Muertos,"$201,429",29.86%,133,197,6,44
69,Llamaverse Genesis,"$198,027",-19.77%,10,10,0,0
70,DeadFellaz,"$191,428",3.17%,33,34,3,105
71,TombStoned HighSociety,"$190,687",64.71%,100,130,0,1
72,CryptoSkulls,"$186,267",191.91%,63,84,0,81
73,Mindfolk,"$175,896",97.80%,50,75,1,2
74,Pixelmon,"$169,559",394.87%,57,153,2,48
75,HAPE PRIME,"$169,096",96.55%,43,64,1,39
76,WebbLand,"$160,522",-0.88%,21,28,0,0
77,ALPACADABRAZ,"$158,859","1,451.95%",92,137,1,3
78,Solana Monkey Busin,"$157,160",-14.95%,8,8,0,0
79,Akuma,"$156,026",28.08%,36,90,14,330
80,SOLGods,"$155,381",-32.38%,27,29,0,3
81,Impostors Genesis,"$152,857",-27.57%,13,17,1,0
82,Akutar Mint Pass,"$151,319",-71.57%,172,251,3,0
83,Cyberkongz VX,"$148,906",298.02%,6,6,0,0
84,Ethereum Nam,"$146,786",186.56%,87,132,4,0
85,Sneaker,"$146,286",21.91%,79,104,100,1
86,Famous Fox Fede,"$145,034",127.43%,35,48,0,0
87,Karafuru,"$143,272",-23.66%,16,17,2,119
88,PUNKS Comic,"$142,277",323.16%,10,16,8,15
89,Vox Collectibles,"$136,778",32.36%,18,20,1,0
90,FLUF World,"$134,093",17.44%,13,13,1,5
91,Gutter Juice,"$133,373",58.45%,69,119,2,1
92,HOWLERZ,"$131,441",853.08%,91,153,0,0
93,V1 Cryptopunks Wrapped,"$123,634",196.46%,5,7,0,0
94,Quirkies,"$123,630",-36.76%,17,19,0,5
95,OnChainMonkey,"$123,478",-37.32%,15,18,0,2
96,Miners of Mars,"$121,421",74.71%,332,670,6,3
97,MetaHero Universe DA,"$117,104",461.67%,44,62,0,0
98,Metroverse City Block,"$115,581",14.15%,27,33,0,0
99,Parallel Alpha,"$115,049",262.65%,64,222,59,0
100,Creature World NFT,"$107,587",-41.65%,40,43,13,0
101,Shinsekai,"$106,205",27.89%,99,163,0,63
102,Dead Rejects,"$101,519",-57.81%,100,136,67,10
103,ZombieClub Token,"$99,793",-40.58%,18,19,0,0
104,MetaHero Universe Gener,"$95,259",61.21%,6,6,0,0
105,ASTRALS,"$92,668",47.39%,36,72,0,12
106,Baby Skeletons,"$92,575",0.00%,1187,2917,21,1
107,Space Boo,"$92,495",-47.52%,282,343,99,7
108,Acrocalypse,"$91,491",-59.18%,36,41,0,3
109,MadMeerkatBurrow,"$88,923",-16.66%,14,17,0,1
110,Interleave Genesis,"$88,732","2,787.01%",132,228,0,0
111,Decentral Ice Poker,"$87,197",11.65%,24,34,2,0
112,Pudgy Penguins,"$85,111",112.70%,13,14,9,10
113,Bohemia,"$84,146",25.18%,50,86,100,40
114,OG Atadians,"$82,160",193.69%,51,60,0,1
115,Enviro,"$80,408",45.62%,43,73,99,205
116,Capsule,"$80,159",74.75%,16,19,100,299
117,My Pet Hooligan,"$78,238",178.02%,16,21,5,3
118,Portals,"$70,203",16.28%,8,14,100,128
119,Forgotten Runes,"$67,759",29.80%,8,8,6,1
120,Aurory,"$66,149",58.54%,6,9,0,4
121,Candy Digital NFT,"$65,453",116.97%,1789,2901,14,0
122,Chain Runners,"$65,222",18.57%,14,21,89,1
123,UFC Strike,"$64,869",-35.03%,413,1443,88,18
124,Catalina Whale Mixer,"$64,025",701.03%,15,19,1,1
125,Jenkins the Valet The Wr,"$62,690",466.15%,10,13,0,0
126,Rumble Kong Le,"$62,298",120.60%,9,14,0,0
127,Crypto Unicorns Land Market,"$61,832",37.80%,33,61,9,0
128,Crypto Unicorns,"$60,807",12.63%,14,17,98,5
129,Stoned Ape Crew,"$60,037",-11.37%,6,13,0,4
130,Panini America,"$59,658",12.94%,212,1955,12,0
131,Yaku Corp,"$57,598",15.55%,45,75,0,0
132,Blockchain Brawlers,"$56,382",-10.85%,103,2046,3,5
133,FXHASH,"$56,100",-37.44%,193,561,0,108
134,The Suites,"$55,790",261.79%,11,25,100,37
135,Kiwami,"$55,712",-16.19%,49,64,6,66
136,Smol Brain,"$55,476",5.96%,15,22,1,1
137,Squishiverse,"$55,429",-47.32%,31,44,0,0
138,Shadowy Super Coder,"$53,920",-30.82%,5,5,0,0
139,Dour Darcels,"$52,541",25.65%,35,47,0,4
140,PhantaBear,"$52,508",-8.05%,15,20,0,11
141,PolkamonOfficialC,"$52,243",1.91%,298,353,0,0
142,Mooncats,"$52,206",142.56%,26,38,1,7
143,Feline Fiendz,"$50,902",225.20%,73,115,0,2
144,Rarikey,"$49,831",-18.25%,56,59,0,0
145,Alpha Kongs Club,"$48,943",14.97%,32,53,0,8
146,Edenhorde,"$48,929",55.33%,6,30,0,0
147,Chikn,"$48,546",8.55%,12,22,100,22
148,Apeiron Primeval Planets,"$48,193",-58.43%,26,52,0,0
149,HUXLEY Comics,"$47,605",-8.01%,18,38,0,0
150,VeeCon,"$47,575",4.41%,36,41,4,30
151,Bobu the Bean Farmer,"$47,437",11.14%,69,86,1,0
152,FULL SEND METACARD,"$47,398",-51.89%,18,18,2,0
153,The Fracture,"$47,340",74.21%,7,16,98,0
154,Lazy Lions,"$47,052",25.21%,14,14,74,41
155,Genesis Habitat,"$46,855",52.69%,13,21,15,0
156,Dippies,"$46,553",20.30%,56,62,1,21
157,Serum Surfers,"$46,176",-36.99%,83,153,0,1
158,Loser Club,"$46,091",-69.67%,39,54,100,26
159,Adam Bomb Squad,"$45,795",26.47%,28,36,42,2
160,komradz,"$45,726","2,326.16%",114,195,0,0
161,Degenerate Ape Aca,"$45,671",-6.68%,7,7,0,0
162,Max Pain and Frens,"$43,723",-49.71%,15,16,0,0
163,Hero,"$43,163",114.24%,26,34,100,1
164,DeadCets,"$41,917",-53.39%,250,379,0,11
165,Goons of Balatroon,"$41,802",30.80%,22,51,1,6
166,The Doggies,"$41,405",222.45%,71,89,32,0
167,Queens+KingsQue,"$41,333",554.33%,11,21,0,0
168,Magic Ticket,"$41,122",-14.56%,228,459,100,0
169,Grim Syndicate,"$40,105",64.79%,28,44,8,1
170,Galactic Gecko Space,"$40,053",73.10%,17,36,2,0
171,Citizens by Solsteads,"$39,066",8.07%,86,120,0,0
172,Quantum Traders,"$39,030",106.69%,41,72,69,0
173,inbetweeners,"$38,753",-33.78%,28,30,38,83
174,Pixl Pets,"$38,549",-10.04%,25,61,0,0
175,Tubby Cats,"$38,342",-21.10%,36,45,1,2
176,Curio Cards,"$38,238",79.53%,13,23,10,0
177,Sup Ducks,"$38,127",-38.99%,14,18,2,84
178,Cursed Labs,"$38,095",365.98%,59,89,4,0
179,Monkey Baby Business,"$38,039",-82.53%,7,12,46,0
180,frank,"$37,186",420.08%,11,23,100,0
181,Boss Beauties,"$36,932",-73.95%,10,11,24,0
182,Gutter Cat Gang,"$36,744",-5.93%,1,2,2,0
183,Gutter Rats,"$36,300",83.88%,6,9,2,0
184,I Like You You re Weird,"$36,112",66.29%,59,90,99,0
185,MidnightBreeze,"$35,788",46.52%,12,18,0,0
186,Generous Robots DAO,"$34,878",-14.95%,14,20,0,0
187,Magnum AI,"$34,807",376.25%,61,115,5,0
188,WonderPals,"$34,090",-19.14%,48,54,0,0
189,Habibiz,"$33,885",17.97%,11,15,1,0
190,CryptoMories,"$32,786",92.40%,27,32,0,0
191,DEFY Genesis Mask,"$31,071",43.01%,19,20,1,0
